Index,star_name,galaxy_name,size,color,distance_from_earth,likelihood_of_life,num_surr_planets,type_of_star,p_life
171,Meju giqa,Suto nucu,12.964127297238523,#C73AD8,7759235769.726374,6.463682,18,Supergiant,6
179,Keqi piqu,Tumi tixa,30.859651170284906,#C1C3E2,3566776952.143584,77.166084,3,White Dwarf,77
182,Kute vice,Xoce pote,18.667982199157244,#8EC05A,10532054060.57449,82.97253,9,Main Sequence,82
188,Himi besa,Jiqa vamu,25.151551326672305,#FD3A7E,1415817915.2437804,59.59202,1,Neutron,59
204,Jadi qene,Qeji qiji,14.661683727808962,#E93D68,11989291397.318592,25.546026,18,Supergiant,25
206,Zuna zeze,Jake yepe,25.05760602232745,#D110D0,781717145.2292068,77.27663,19,Giant,77
217,Tevu qeto,Feyu tixu,30.67003393238299,#FB6813,4808659723.842405,0.49561983,2,Red Dwarf,0
219,Zehi yavi,Gupa boho,41.36607539337752,#D800C8,3485154083.6578126,35.106773,9,Supergiant,35
227,Legi feko,Pige sovi,0.5858682724264443,#17BAB2,5853718695.151082,63.673145,1,Supergiant,63
228,Yuma zolu,Wiqe xewo,39.91943137683684,#A64373,12799397838.144562,35.8478,14,Neutron,35
234,Zuri cipu,Mozo voma,33.118541085196256,#BA75A2,11838212711.364016,82.2505,8,Neutron,82
235,Pocu yuri,Hewu daya,18.273735399519893,#A242BD,7096426231.973413,88.62574,0,Supergiant,88
245,Culo yewe,Mise mete,34.44898079732393,#DAD2F3,1963733497.1895564,43.950397,0,Giant,43
246,Tovi zodi,Yure gela,44.509291895717126,#659CFE,6282414282.114913,49.937634,9,Giant,49
250,Gowu veno,Quko rapo,9.445674711952986,#4F9C95,12818218753.567625,90.7102,8,White Dwarf,90
252,Soza ripi,Beye goyu,47.25272138103808,#C5C142,5826684276.048903,75.61147,14,Red Dwarf,75
259,Radi zuwa,Bohu dela,27.194459855849352,#E10D13,7220262537.331919,13.491898,16,Supergiant,13
263,Lego tuga,Dage fixi,6.239540132578326,#76837C,2452259452.755138,46.19835,10,Supergiant,46
266,Wula lagu,Hula muki,40.701015530240966,#C780C3,8500591930.850807,9.864711,8,Red Dwarf,9
267,Waju yavu,Wuhe lede,46.56942805527341,#2D9981,4799296634.240485,37.40127,15,Neutron,37
272,Doyo hari,Yiha poce,34.36642170593192,#488329,4098417836.492499,37.072414,14,White Dwarf,37
276,Gihu qobe,Zuhe yoya,32.89483785751409,#B78580,6756438650.105711,78.92156,14,Neutron,78
280,Tiqe yeve,Huwo nedo,45.17445855935065,#DE860A,10678915800.893332,63.256905,7,Main Sequence,63
284,Zoja bizo,Mule pari,49.91191926588682,#EA1673,6831735608.894995,78.25346,9,Red Dwarf,78
289,Kifo lase,Veko wake,2.2376358966976864,#E9903A,12846161911.728994,37.45255,5,Red Dwarf,37
293,Ceso wovu,Vasa yoxi,7.788691438929518,#6FDDE0,6014079614.911187,47.24071,1,Supergiant,47
295,Togo modi,Gati xofu,22.132279692604673,#2554D8,7980525649.329306,23.563889,15,White Dwarf,23
302,Ceki fuqa,Giga hira,45.394276181479505,#0583B3,7725032944.345957,74.132645,8,Supergiant,74
305,Yeme poce,Tega fiha,23.304187978678318,#17D381,5928613183.106419,28.713646,19,Red Dwarf,28
308,Yehi sotu,Falu heju,8.397314793797415,#20D551,3025024591.859568,90.861824,4,Neutron,90
309,Zucu qeri,Naqi qufu,4.763013621449345,#FC8A15,12221621706.676739,54.089554,17,Red Dwarf,54
310,Yufu xure,Ravi somu,4.506474697407847,#DA523A,1611148730.9965055,11.1834345,11,White Dwarf,11
312,Nogo hixu,Voda vuru,16.733966294627194,#047C01,8918708632.618067,1.5455108,17,Giant,1
313,Luqo yuye,Gegi supi,43.21231664564154,#27507B,3039521016.4603696,94.3766,8,Supergiant,94
332,Rixu xogi,Fodu cata,33.41850268938903,#F50299,10500092159.18129,8.734207,10,Giant,8
336,Yuqi raga,Deke gobu,14.844723922050806,#F84EB1,7727094267.996233,72.32583,5,Supergiant,72
338,Waso vimi,Qifi tibi,12.922127211621138,#4F42B5,804007254.1848012,34.7966,5,White Dwarf,34
344,Saja noti,Vaca visi,40.18539052145603,#A3CFAD,11103092923.722609,6.273192,19,Red Dwarf,6
359,Ruge jece,Saxi zazi,42.204857559077055,#06D27A,316121084.877469,10.384344,12,Main Sequence,10
360,Jise jova,Tolu ziya,33.159472899131245,#04D314,12089110428.983946,48.820564,13,Supergiant,48
363,Ruqu duca,Vaji jeqo,14.261746523475143,#D730D3,1716125009.9346123,11.595841,7,White Dwarf,11
366,Sizi neve,Zoja nelu,4.469897727415092,#244B07,8628646440.61616,61.353436,10,Neutron,61
369,Yoju pecu,Teyu ganu,42.52326652450976,#AE29F9,1363595316.988067,5.277878,17,White Dwarf,5
370,Zabo jowa,Mawa pavo,19.142895937766326,#70F37A,10317176713.008453,65.47558,15,Neutron,65
371,Modo hosi,Civi suni,31.046949121345452,#DACAE4,4771746296.125796,82.59133,4,Neutron,82
373,Zave tohe,Pufe pura,31.351451531622352,#DC977B,9550720232.88114,78.73285,9,Giant,78
378,Daha hale,Zoxa nave,16.06212088541858,#D897FB,1727060364.081116,53.45805,16,Giant,53
384,Xuwu kuse,Sore raga,36.979937038629664,#155B20,12239361817.410967,4.018239,6,Supergiant,4
385,Dogi dege,Weko gone,21.411150931050283,#085261,5401095538.631755,33.859905,7,Supergiant,33
388,Zazi hazo,Hone godu,3.3562341880703004,#0F70C6,961119002.5912675,97.428024,6,Neutron,97
390,Xice xela,Minu ruti,4.713684623179759,#6CE6F0,9010764785.346458,74.2621,14,Red Dwarf,74
399,Xoma licu,Desi pini,30.640565438936324,#F1DC6C,4580897150.54632,41.694885,4,White Dwarf,41
404,Rini naze,Mule fupo,29.59829775048163,#663812,12193368453.703575,0.48328617,15,Red Dwarf,0
405,Nebu sola,Teko cuho,7.891627655891512,#CFFA36,1416560284.1812327,22.633303,13,Supergiant,22
407,Baxe yopa,Quya bixa,0.7009259339166104,#75E40F,1413053163.417688,48.70221,11,Giant,48
409,Xosa sime,Zuye nohe,21.6053182665271,#108E48,2958326366.8333607,42.807255,0,White Dwarf,42
413,Jiwa riqo,Voba weqa,1.588311144443489,#23F8B8,5052093526.579283,87.13024,17,Main Sequence,87
415,Gulu yeki,Ludu biqi,47.444616093447756,#96110D,7572421781.764009,28.057823,18,Neutron,28
421,Nufu cuwi,Meka qeja,32.1537431551442,#9AE298,8771633449.901634,17.008644,17,Neutron,17
426,Wiji pota,Kuja voce,21.209198862201582,#190DEA,5079937045.119021,2.3155699,7,Red Dwarf,2
431,Pipi wuge,Dola boma,32.83542594261171,#0A4FDF,11698461975.694576,75.89045,15,Supergiant,75
435,Yofi dobo,Nama tixi,38.734175394426245,#30ABB9,10032808355.402388,82.87305,17,Giant,82
439,Huya fera,Dula vele,29.88444785283646,#19141C,7134248507.839682,81.02661,3,White Dwarf,81
445,Bofe dugi,Papa topo,44.078430540684444,#6D5963,11804733873.191519,48.041073,10,Supergiant,48
446,Vuqo qeku,Ruju fexa,46.97320964801195,#C1CF29,9214803179.10163,10.565094,10,Neutron,10
448,Minu zila,Kute tuxo,28.254067743895035,#016CE0,2279339877.7017584,20.989202,18,Neutron,20
449,Bepi siku,Xeta cito,27.096530317232197,#2C5DF0,10368531249.78596,39.73507,6,Red Dwarf,39
455,Topo kuci,Jono yowi,9.706519584810815,#583428,10075842663.803152,29.511312,2,Supergiant,29
456,Niqo hanu,Xihu reyu,47.232603734676076,#279D79,7250915364.412452,79.67201,16,Main Sequence,79
460,Teza humo,Jada gasi,18.219267165410443,#6ADEAD,9109617448.946943,63.08947,5,Red Dwarf,63
469,Jubu somu,Boyi wuyo,17.947276235279443,#875554,6236850783.9580965,18.636162,4,Red Dwarf,18
477,Site kevu,Sibu fadi,34.20073320121255,#325E5C,10720117304.300547,32.72404,18,Giant,32
478,Joju jape,Zere zoju,21.996660139756344,#D5896E,7193156544.312216,22.660606,3,Red Dwarf,22
480,Deno tequ,Bapi bihu,0.5126959454314219,#67F03F,2823696897.478928,84.68213,19,Red Dwarf,84
483,Yeji wozu,Sexi jowa,28.506475557003288,#A38CFF,1896381263.8449326,57.797,1,Supergiant,57
485,Yuji haco,Vefe nazi,15.570407060917635,#5BD0C1,11362498878.226902,61.57751,16,Giant,61
486,Bazu javo,Peda rihi,17.697876617426143,#534007,1910202601.8049028,59.817356,2,Neutron,59
497,Dope refo,Xesu hede,40.22756008491037,#77590A,11351271599.066956,69.4453,14,Giant,69
498,Luxe pawa,Vohe loyi,49.71282983152824,#6493F0,8706383835.318531,76.13542,12,Neutron,76
500,Tala feri,Podu lebu,15.399039619118417,#DDC291,5754933219.711352,50.005577,7,Supergiant,50
504,Bale bofa,Yedi diko,32.774082335252395,#A8B4AA,6691174208.329851,40.724335,18,Supergiant,40
505,Saba juhi,Culi kiwa,20.642324247216678,#9AD93F,10160804580.041725,91.969955,6,Main Sequence,91
507,Hupe samu,Poqe diqi,39.61932181678671,#D07E86,11269258762.367685,96.69649,16,Main Sequence,96
510,Tiqe zeha,Coro mebo,48.129803585609054,#7E293A,8005080280.101507,74.53374,10,Main Sequence,74
511,Tade movo,Deme lowa,41.68081999340398,#0F1A25,1102937456.497178,13.926049,4,Supergiant,13
514,Peve xosa,Wuvu mogu,10.12494769904576,#A97514,5893514665.020681,2.8020515,11,Supergiant,2
517,Haje regu,Fora veye,13.236485635055306,#6D0A00,1850436175.364193,30.33967,17,Red Dwarf,30
519,Duko nuwi,Hiko zivo,3.2436177668665724,#42AD9C,10909490553.97375,26.913088,17,Red Dwarf,26
520,Daya nini,Teqe kulo,44.6446208079194,#D6D9DB,12674830006.977713,56.50003,11,Red Dwarf,56
522,Guyu toce,Qidu mico,9.956224901774588,#C6C1A3,2219762046.360502,64.99967,8,Giant,64
529,Xare lata,Roqu fepi,12.256578630108192,#12FF14,11006589848.408157,42.061783,1,Supergiant,42
533,Daxo hedi,Wocu home,12.462375889067813,#BF2AAF,3442234021.229187,76.80994,6,Supergiant,76
534,Mege kadi,Dibo heqi,40.077825422645105,#20F367,711299915.0511334,1.1918128,18,Neutron,1
536,Zoce husi,Disu niji,40.08874508772735,#111061,4392709110.296019,57.815163,10,White Dwarf,57
537,Yaxe lowa,Konu kuta,48.390163791782264,#D613D2,333915328.7117525,72.93422,10,White Dwarf,72
542,Woka cove,Mito gohe,49.202666781779335,#7CFB5B,8040348074.053969,32.84521,13,White Dwarf,32
543,Tuhe rava,Vuso jota,24.968887890177115,#5D05BA,1066044588.4112692,11.162958,11,Giant,11
544,Geko naze,Boyu pulu,19.705514255435055,#6DD423,11780514234.386515,42.116013,1,White Dwarf,42
546,Puqi fope,Tebu zulo,9.58224061989196,#32D502,10753148011.881845,69.585304,15,Giant,69
548,Wasi lufo,Voze dowu,40.04867260712365,#9B6556,3679389233.341724,78.100136,13,Supergiant,78
554,Caco sutu,Vubu buju,47.53693595966417,#F8F9E6,12196251765.333858,80.83202,4,White Dwarf,80
558,Dora tuno,Jubo fohu,37.077514574146186,#5CD39C,3208138532.708876,87.50275,0,White Dwarf,87
560,Tahe joru,Sopo togo,39.15383821645385,#2CB1E0,1008328042.500592,84.38107,6,White Dwarf,84
561,Xiwi rija,Habi guga,25.500943590788054,#9B5C66,1456959352.8177664,6.798738,13,Supergiant,6
562,Vuba tebe,Quqa meka,9.869532489366833,#3D9052,3368184578.585291,72.57891,9,Giant,72
564,Fiyi pupo,Dida jixo,24.636006190187285,#D9F6BC,7712228622.928749,9.592824,2,Neutron,9
575,Cosu fimo,Kesi voce,7.552632531247846,#A198B2,4433003897.025508,4.025537,13,Red Dwarf,4
576,Jaga lese,Cuho doka,32.297756982970526,#DECE43,9384337850.876343,66.01789,6,Main Sequence,66
578,Dizo togu,Vuqi pepe,32.62668025847535,#291CF8,11696828141.262732,87.87445,5,White Dwarf,87
582,Poku kire,Jufu nivo,45.24771553759067,#FEF17E,6209779908.77668,97.15383,6,Giant,97
584,Kaga loha,Cozu nuka,16.1254650475974,#266E9E,205109900.43768165,85.281006,14,Main Sequence,85
586,Jemo vefo,Witu xuve,28.500303920626965,#EEAC5D,1485284708.4570646,85.34777,8,Giant,85
590,Dovu yoqa,Dito maha,49.028358999402535,#8AB3BF,4775353600.69517,60.00675,3,Main Sequence,60
591,Sinu geji,Yuho wori,21.731573539815848,#B00A95,8692929100.34292,94.21456,7,White Dwarf,94
593,Runa yene,Coxi havu,37.08710179980768,#5885DE,7570772065.248819,99.71099,12,Giant,99
594,Zisi pimu,Yari tume,41.809808750871106,#4B8528,1166514168.4164708,74.67493,16,Main Sequence,74
596,Gone tika,Roti mupe,4.583847583841988,#159F82,7226748154.063802,30.341223,5,Main Sequence,30
600,Niro coja,Nebi xima,47.41335292768674,#EF1FEF,9721073238.120848,80.98185,16,Giant,80
602,Ralo reji,Zuzu feni,49.6022731501439,#26DC7F,11351255547.064024,30.771276,6,Main Sequence,30
603,Wafo wuma,Yufa gido,8.625222114784755,#1078CD,894561834.4360574,80.03637,17,Supergiant,80
604,Mera poce,Gape cego,43.731591145893795,#CA9862,4337557763.808732,61.38381,19,White Dwarf,61
606,Roto doni,Dehu moji,47.669003474414744,#C714AC,11332239377.840178,54.08305,5,Main Sequence,54
609,Duje hipu,Leja diba,29.71165567539812,#38BEA5,7502596157.577541,8.464593,15,Giant,8
613,Xaxu reno,Paze gego,16.253805407377932,#C7EDCF,2829434430.857216,45.65023,0,Supergiant,45
617,Mehi vamu,Dila zure,1.5642467778383222,#D577BD,5187307657.848241,64.987946,16,Supergiant,64
620,Yifu dunu,Zelo seso,30.126462981191207,#FC72C0,4710593601.985922,73.49281,7,Supergiant,73
625,Joyu ruqe,Jula hoqa,14.214404278169722,#F4A83E,6964594103.025376,94.21794,2,Red Dwarf,94
628,Luxa naji,Zecu sipa,48.02847402285494,#78A650,5086758401.220736,41.798244,18,Giant,41
630,Dohi nevu,Guxi koqi,13.620480396469866,#5C108A,1953766070.5912008,50.969975,17,White Dwarf,50
634,Rali zexi,Vewe fohi,48.50144026540333,#E0FA08,2939877205.990787,25.781185,10,Supergiant,25
635,Pobe fuvi,Laxa safa,35.202514480886286,#E6F4F0,8022829347.4012785,10.049545,17,Red Dwarf,10
646,Febu wila,Bexo gela,37.64409579130459,#5F1D5F,1000386261.841671,88.16641,12,Giant,88
661,Gipe rafi,Caza geba,39.999881084738746,#716779,7283057945.550858,2.8791974,16,Main Sequence,2
663,Wewe duwu,Duro xale,37.176433523848864,#07D6FD,11429128192.596151,49.435143,1,Main Sequence,49
669,Nici vada,Rojo xise,0.7951821622465556,#FB6C57,4031076580.743653,73.60041,3,White Dwarf,73
670,Mufa lota,Qame hewe,0.8005308711838279,#204183,5817027443.225953,52.332516,11,Neutron,52
677,Tiye hive,Qepi gilo,29.094590918485487,#AC9B78,126918495.98321593,79.96449,10,White Dwarf,79
681,Fexo qunu,Witu pika,3.836437093694997,#466744,10160081559.216738,25.431246,5,Red Dwarf,25
682,Kori zaxo,Juzo guhi,13.003392308722512,#B9E6E4,8096067589.339726,48.939583,1,Main Sequence,48
695,Wuxo jema,Xede viro,44.68350668189369,#D81A02,297034677.8405953,50.22948,6,Red Dwarf,50
700,Tame toli,Zaka dafo,18.918805084669145,#84DB9F,1887925827.210224,52.12952,2,White Dwarf,52
702,Soha siwa,Zoje jalu,22.11515995094701,#D44106,7892403545.445366,67.25313,1,Giant,67
704,Sufi fuzu,Geza nuno,37.24175637326544,#2D65B3,7355497849.588709,69.45315,6,Giant,69
705,Suwe raga,Buwo duge,29.389303444344787,#857823,12238726785.296408,58.04802,16,Neutron,58
713,Busu lidu,Kaju fayo,42.701394464446714,#38944D,9138666108.45819,56.915848,10,Supergiant,56
720,Cixu tane,Toku doto,5.694081490049225,#4D7E0A,5682217319.108426,85.7255,1,Neutron,85
722,Qeza xobi,Gaho zaki,25.411849734708614,#23B307,4020121700.093073,61.764805,7,Supergiant,61
727,Tela dufe,Cidi leko,3.083055251681677,#8882E1,6326167513.851161,61.892475,14,White Dwarf,61
736,Cute rajo,Suqu hejo,8.022621537417656,#208B78,8600603003.998484,94.266106,9,Giant,94
737,Gisa dadi,Xofo noxa,16.603629003736355,#161E4D,6986687557.409479,87.8391,19,White Dwarf,87
739,Gifo qoqa,Kago qola,31.280029709045166,#CF401A,3051503885.8703637,95.170166,11,White Dwarf,95
740,Toha mama,Runa pecu,49.09169003240498,#76F2C0,5232957613.795923,89.92783,10,Neutron,89
756,Zesu taxe,Muyu zemo,48.85968159257451,#CC6FDE,2294921629.674568,10.739782,12,Giant,10
757,Wesa puko,Vece simu,1.9340120272521582,#031EFD,4409349204.415148,84.3117,6,Red Dwarf,84
759,Hazi lefu,Nava daku,38.43576930669619,#B9F9E6,4384046469.850183,83.75707,19,Neutron,83
762,Ligi boza,Lati zinu,14.079456815089182,#A5BB96,672823483.5440524,45.464592,2,Main Sequence,45
766,Mugo zizi,Faca zufi,46.46729752251038,#1CB0B5,10478828613.986391,19.85974,1,Red Dwarf,19
776,Hifi lowo,Tazo yeze,44.706745868855315,#3D65FD,10775469816.860203,72.006546,10,Neutron,72
777,Juso moti,Nihe voge,10.36269883887955,#AF542B,3042112874.1675205,83.625755,5,Supergiant,83
779,Ceya nora,Huco bizi,28.24712127049687,#DB5799,1613986916.6342254,53.866375,0,White Dwarf,53
780,Diki qose,Viwu yeve,45.34251496817133,#B6D03D,6380370742.483592,42.747288,0,Red Dwarf,42
784,Bolo viqo,Yowi qadi,35.13383544974532,#06FB37,4336568173.232185,17.990683,1,Main Sequence,17
793,Nimo mipu,Mihe wepi,32.460280060586605,#5165F7,5186742564.261809,51.244583,10,Main Sequence,51
795,Wopo xego,Qifi yezi,32.46419480364075,#E3654B,5976725936.192136,75.26446,14,Neutron,75
796,Zohi xaco,Bude rafe,45.75891449793667,#A92CCE,6710670405.219318,59.913685,5,Main Sequence,59
798,Xuhe rodu,Vire royu,22.049074258311464,#D470A9,12036646739.721512,53.847378,13,Red Dwarf,53
801,Biqo jeha,Zoqo vudi,18.03291347091827,#42652A,7904477131.730967,41.32031,6,Giant,41
806,Boje divu,Susi nupo,35.0715202798942,#480BA1,1082790806.1414144,97.9131,3,Main Sequence,97
810,Xeji bupe,Luho dife,15.398138264987558,#BEDDA0,4068538605.938741,21.138224,16,Neutron,21
811,Xoxo vovi,Hota nugi,22.169366222997912,#5EB8DE,3189553601.7225986,38.182453,17,Neutron,38
812,Zehe lupa,Jepu gaxe,13.306995674215772,#6B1E11,3957575524.706886,18.506899,18,Main Sequence,18
828,Pobu xosu,Dibe rivi,36.05192326274491,#BDC11B,238313729.13633066,20.936565,19,Main Sequence,20
829,Fiwe hiju,Gova xodo,12.129388694406828,#8358B1,283198471.6263967,8.083578,9,White Dwarf,8
830,Duse nuwe,Degu mobo,29.150779203853887,#2603ED,2656320192.2218537,63.010326,18,Supergiant,63
835,Rizi tude,Pofi caya,15.866645296056292,#9E6C23,2888481132.546379,13.526218,12,Neutron,13
839,Qaci nano,Gesu puyu,46.78021728613959,#6DB4FD,12509601021.28051,32.72765,7,Giant,32
845,Qugu riho,Qipo sayo,23.91491739894867,#FDBD1D,4654279456.396176,20.733112,2,Supergiant,20
846,Qemu paqu,Puyu lemi,17.505927561065754,#A336E0,12005668539.04993,54.077564,0,Main Sequence,54
856,Coru woyo,Biye jeje,4.922436161637057,#D2B07B,20575878.791560482,54.634197,6,Main Sequence,54
857,Tiqa rera,Nora cini,45.48470219528996,#7ECF43,4681882892.738703,33.22333,4,Main Sequence,33
862,Zano wezi,Guwe kohu,21.399967937974516,#73EA2A,12829162149.39824,60.845848,6,Neutron,60
863,Cole tuqi,Naxi buka,31.608051443217946,#A3B4DC,1735811296.0238297,94.342285,14,Supergiant,94
866,Raba cayo,Resa kadi,39.70943554377008,#5C259B,5687153984.964768,92.13367,10,Red Dwarf,92
881,Guca fuyo,Bapo rani,38.02283571044777,#719C63,10035078644.147995,19.68028,16,Red Dwarf,19
885,Vire jebu,Jiru nufa,10.295590459083517,#87F8CC,5520235763.165831,92.86472,1,Supergiant,92
895,Qowa kidi,Gane gozu,9.458752467142581,#ECD9C5,1274799678.34498,24.15323,6,Giant,24
896,Yaxa boqa,Ruvi bucu,24.903628458226446,#AFB47A,10574145459.22992,39.07807,17,White Dwarf,39
908,Gala kuce,Foki qopu,4.350283581005481,#AFC6D9,11651138972.816349,21.768208,5,Supergiant,21
910,Nawo meke,Hoyo yuda,37.39410983373378,#31F6C3,88630865.39815094,73.613884,15,Supergiant,73
914,Tuku mexi,Meyi buqa,15.734997572756987,#6CA74E,11694418866.527117,92.32611,2,Main Sequence,92
921,Nuho loji,Bafe gazo,25.00397498928761,#11C672,6858179472.543281,41.22743,4,White Dwarf,41
923,Yasa hure,Pave jima,19.186716570273926,#6BEEB1,5506515479.393951,43.785866,16,Red Dwarf,43
930,Yexo wema,Qaso soxo,24.086853259252912,#E46068,8378338688.629097,5.9936295,5,Neutron,5
934,Xeca seto,Tona gavo,27.772348478937015,#82A774,12725098679.155024,26.285223,13,Supergiant,26
946,Jiji yeye,Texi pani,37.980320209564105,#D8096E,7026579584.71851,25.377188,17,Neutron,25
948,Rexu caba,Kira yaxe,21.188351964145145,#B551D0,3470486003.1627955,8.149829,7,Supergiant,8
952,Mivo muhu,Hona fika,29.234704299620617,#A5A087,2734911698.164861,72.21423,11,Main Sequence,72
953,Xara xofo,Guda bivi,35.83559767691964,#E5CF1F,3088807436.7392554,36.148148,8,Main Sequence,36
