Index,NAME,GALAXY,RADIUS,COLOR,DISTANCE_FROM_EARTH,LIKELIHOOD_OF_LIFE,NUM_SURR_PLANETS,TYPE_OF_STAR
56,Fezi xuli,Vawo cuqu,5.407647352911916,#249DA0,7009266840.913924,3.181420687775227,11,Supergiant
65,Joto boha,Guqu nafa,29.50092729168093,#1DA174,9929614569.330921,1.0488753209145774,4,White Dwarf
66,Teru moha,Mizi yiti,5.533974569589853,#11468F,3632734195.9858522,71.1678374923258,12,Supergiant
67,Beki yiba,Giva tuke,39.73458694499435,#F17BEF,7497675974.925837,59.61976830276107,9,White Dwarf
69,Vuso vudo,Fuqe diju,35.33874924342257,#F1E6E3,1682824510.314053,62.775367788329305,3,Supergiant
75,Hupo rere,Jeto mubi,3.310380840222041,#E0AC43,6947882390.958166,11.70003932671284,13,Main Sequence
78,Joza yeqa,Fevo tesu,43.474825781160725,#9880F2,917393573.2497586,32.595170826089515,13,Neutron
82,Fawo jiba,Sowo dumo,33.956229696357624,#7A563C,11595700306.05243,85.11812345259992,17,White Dwarf
87,Jofi tayi,Xidu gazi,6.580798647937371,#CA3F2F,1351023274.301323,61.53806164646125,12,White Dwarf
89,Cora diko,Bixo piga,7.973612241027653,#D6B783,2453255354.4985886,94.86138297692064,13,Giant
90,Fefe laga,Wugo jige,5.788319023529977,#8932EB,12548557409.437769,60.39418043887525,15,Red Dwarf
95,Cayi cena,Kiro lira,32.778099495407396,#4C76B8,5237621718.599396,55.61095907257425,4,Supergiant
97,Weji zone,Qoqu wole,27.594883493402282,#196BE5,5219804450.327413,54.28384392828425,0,Red Dwarf
100,Rego hola,Mijo fara,45.520613753830226,#45E117,4048160660.8741,12.112108356659501,9,Giant
101,Zija jite,Zuru xile,8.305866533181234,#846273,2273330254.4780674,27.722660253755826,11,Giant
109,Ziri yuju,Maso xelo,26.85350820617559,#D8EED3,12740753778.770882,80.24618212199996,9,Main Sequence
111,Popu mesa,Xuze yili,27.93449065026693,#EE8321,11217400488.279167,92.83148953327888,15,Supergiant
115,Loja jiqa,Caxa xise,16.9366019675046,#112073,2096430870.6543348,95.89562605498135,7,Supergiant
118,Baxe bufo,Xoza peto,21.370653729533956,#191678,8834266429.581886,74.36998437169503,12,Supergiant
125,Deni ziyo,Gise daza,48.73473730236593,#B8F281,4322363522.83861,47.96962860620897,11,Giant
127,Wowe biva,Yemi fiki,18.10152109376959,#C6D733,1448903186.5115013,59.04094067258405,13,White Dwarf
128,Pupi foto,Yoru yuda,25.476673182961125,#EC66E4,9451228120.811531,24.910849934203718,11,Giant
129,Baqu rawa,Zequ feqi,16.612120399385137,#253EF6,12722012425.580381,67.78535911927935,1,Main Sequence
131,Mofo zote,Lunu jina,8.10105426784731,#0991C3,10190963777.6687,60.32814255688095,8,Red Dwarf
132,Weki joye,Nuka yafa,49.29837893326861,#4A9954,4701230616.741758,21.167597078987278,12,Main Sequence
134,Dehe fepu,Tega qujo,6.656546465795993,#9D98A4,1934565308.7059922,39.439382959414345,1,Giant
135,Bozu yaqe,Zuse tabi,38.780666107418035,#9761BD,8639992776.761374,38.84612296786414,19,Main Sequence
137,Mudu kiyi,Raku yato,17.927434760050176,#CA7AB2,2752021771.1279016,0.6499966756438602,16,Red Dwarf
140,Tuxi ravi,Siwe mupa,30.814132401587884,#F4151B,9612481785.037693,97.02044963226976,1,Supergiant
147,Qupe sexe,Lijo viko,38.71759320945337,#0AEAAF,5939875975.270468,30.271112566042024,10,White Dwarf
148,Wepe ridi,Rago poko,30.557081166757133,#AEED0E,4821228621.478038,52.00802373961335,4,Main Sequence
151,Leba leqo,Yejo sulu,4.612106944804072,#3874EB,8079598448.553763,52.88615993011652,17,White Dwarf
152,Ruza faze,Guto qixu,7.308400445367371,#A9F129,12687192619.477194,55.180699389190835,1,White Dwarf
154,Yupa yoxe,Qici moqo,24.629913554028956,#D96869,10731771760.68056,83.42113685588103,14,Main Sequence
159,Cami hava,Tebi loje,34.53032535911744,#3CE66B,2817249534.6330256,1.0509440312880147,0,Main Sequence
163,Vuqe lahu,Yohe fetu,5.136268822666896,#585E71,9919626735.484043,52.54886377829304,12,Red Dwarf
166,Baho puwe,Yuve biyu,21.222973217276177,#EEBC5C,10626859664.584879,57.90675669643286,18,Red Dwarf
167,Pizo gela,Neda hota,21.726211157479405,#F38B42,10528709820.324839,27.01789768343409,12,Supergiant
170,Lesa nubi,Yili dibo,19.638778627574457,#A16AF4,11945976912.797457,12.670057752697971,15,Supergiant
171,Meju giqa,Suto nucu,12.964127297238523,#C73AD8,7759235769.726374,6.463682100367219,18,Supergiant
179,Keqi piqu,Tumi tixa,30.859651170284906,#C1C3E2,3566776952.143584,77.16608666998324,3,White Dwarf
182,Kute vice,Xoce pote,18.667982199157244,#8EC05A,10532054060.57449,82.97252502828171,9,Main Sequence
188,Himi besa,Jiqa vamu,25.151551326672305,#FD3A7E,1415817915.2437804,59.59201645356133,1,Neutron
204,Jadi qene,Qeji qiji,14.661683727808962,#E93D68,11989291397.318592,25.546025762541124,18,Supergiant
206,Zuna zeze,Jake yepe,25.05760602232745,#D110D0,781717145.2292068,77.276628546382,19,Giant
217,Tevu qeto,Feyu tixu,30.67003393238299,#FB6813,4808659723.842405,0.4956198293301739,2,Red Dwarf
219,Zehi yavi,Gupa boho,41.36607539337752,#D800C8,3485154083.6578126,35.10677324013525,9,Supergiant
227,Legi feko,Pige sovi,0.5858682724264443,#17BAB2,5853718695.151082,63.67314490054887,1,Supergiant
228,Yuma zolu,Wiqe xewo,39.91943137683684,#A64373,12799397838.144562,35.84780213404457,14,Neutron
234,Zuri cipu,Mozo voma,33.118541085196256,#BA75A2,11838212711.364016,82.2505005472105,8,Neutron
235,Pocu yuri,Hewu daya,18.273735399519893,#A242BD,7096426231.973413,88.62574069102256,0,Supergiant
245,Culo yewe,Mise mete,34.44898079732393,#DAD2F3,1963733497.1895564,43.95039929096636,0,Giant
246,Tovi zodi,Yure gela,44.509291895717126,#659CFE,6282414282.114913,49.93763366640148,9,Giant
250,Gowu veno,Quko rapo,9.445674711952986,#4F9C95,12818218753.567625,90.71019598237092,8,White Dwarf
252,Soza ripi,Beye goyu,47.25272138103808,#C5C142,5826684276.048903,75.61147567061231,14,Red Dwarf
259,Radi zuwa,Bohu dela,27.194459855849352,#E10D13,7220262537.331919,13.491898049489425,16,Supergiant
263,Lego tuga,Dage fixi,6.239540132578326,#76837C,2452259452.755138,46.19835076833056,10,Supergiant
266,Wula lagu,Hula muki,40.701015530240966,#C780C3,8500591930.850807,9.864711108329304,8,Red Dwarf
267,Waju yavu,Wuhe lede,46.56942805527341,#2D9981,4799296634.240485,37.40127025106179,15,Neutron
272,Doyo hari,Yiha poce,34.36642170593192,#488329,4098417836.492499,37.07241567883855,14,White Dwarf
276,Gihu qobe,Zuhe yoya,32.89483785751409,#B78580,6756438650.105711,78.92156350398731,14,Neutron
280,Tiqe yeve,Huwo nedo,45.17445855935065,#DE860A,10678915800.893332,63.256903297844744,7,Main Sequence
284,Zoja bizo,Mule pari,49.91191926588682,#EA1673,6831735608.894995,78.25346208295014,9,Red Dwarf
289,Kifo lase,Veko wake,2.2376358966976864,#E9903A,12846161911.728994,37.452547806102864,5,Red Dwarf
293,Ceso wovu,Vasa yoxi,7.788691438929518,#6FDDE0,6014079614.911187,47.24071244796316,1,Supergiant
295,Togo modi,Gati xofu,22.132279692604673,#2554D8,7980525649.329306,23.563887748175016,15,White Dwarf
302,Ceki fuqa,Giga hira,45.394276181479505,#0583B3,7725032944.345957,74.13264689797218,8,Supergiant
305,Yeme poce,Tega fiha,23.304187978678318,#17D381,5928613183.106419,28.71364527832123,19,Red Dwarf
308,Yehi sotu,Falu heju,8.397314793797415,#20D551,3025024591.859568,90.86182044518213,4,Neutron
309,Zucu qeri,Naqi qufu,4.763013621449345,#FC8A15,12221621706.676739,54.089552483627415,17,Red Dwarf
310,Yufu xure,Ravi somu,4.506474697407847,#DA523A,1611148730.9965055,11.18343487990343,11,White Dwarf
312,Nogo hixu,Voda vuru,16.733966294627194,#047C01,8918708632.618067,1.5455107352914665,17,Giant
313,Luqo yuye,Gegi supi,43.21231664564154,#27507B,3039521016.4603696,94.37660582809984,8,Supergiant
332,Rixu xogi,Fodu cata,33.41850268938903,#F50299,10500092159.18129,8.734207086855461,10,Giant
336,Yuqi raga,Deke gobu,14.844723922050806,#F84EB1,7727094267.996233,72.3258290268802,5,Supergiant
338,Waso vimi,Qifi tibi,12.922127211621138,#4F42B5,804007254.1848012,34.79660189697829,5,White Dwarf
344,Saja noti,Vaca visi,40.18539052145603,#A3CFAD,11103092923.722609,6.273192085921597,19,Red Dwarf
359,Ruge jece,Saxi zazi,42.204857559077055,#06D27A,316121084.877469,10.384343924701234,12,Main Sequence
360,Jise jova,Tolu ziya,33.159472899131245,#04D314,12089110428.983946,48.820563570779896,13,Supergiant
363,Ruqu duca,Vaji jeqo,14.261746523475143,#D730D3,1716125009.9346123,11.59584177652725,7,White Dwarf
366,Sizi neve,Zoja nelu,4.469897727415092,#244B07,8628646440.61616,61.35343688427416,10,Neutron
369,Yoju pecu,Teyu ganu,42.52326652450976,#AE29F9,1363595316.988067,5.277877636708661,17,White Dwarf
370,Zabo jowa,Mawa pavo,19.142895937766326,#70F37A,10317176713.008453,65.47558150635825,15,Neutron
371,Modo hosi,Civi suni,31.046949121345452,#DACAE4,4771746296.125796,82.59133132370776,4,Neutron
373,Zave tohe,Pufe pura,31.351451531622352,#DC977B,9550720232.88114,78.73284605569174,9,Giant
378,Daha hale,Zoxa nave,16.06212088541858,#D897FB,1727060364.081116,53.45805027136248,16,Giant
384,Xuwu kuse,Sore raga,36.979937038629664,#155B20,12239361817.410967,4.018239200018159,6,Supergiant
385,Dogi dege,Weko gone,21.411150931050283,#085261,5401095538.631755,33.85990653311881,7,Supergiant
388,Zazi hazo,Hone godu,3.3562341880703004,#0F70C6,961119002.5912675,97.42802069850408,6,Neutron
390,Xice xela,Minu ruti,4.713684623179759,#6CE6F0,9010764785.346458,74.26209864557516,14,Red Dwarf
399,Xoma licu,Desi pini,30.640565438936324,#F1DC6C,4580897150.54632,41.69488688337929,4,White Dwarf
404,Rini naze,Mule fupo,29.59829775048163,#663812,12193368453.703575,0.4832861797347543,15,Red Dwarf
405,Nebu sola,Teko cuho,7.891627655891512,#CFFA36,1416560284.1812327,22.63330220787837,13,Supergiant
407,Baxe yopa,Quya bixa,0.7009259339166104,#75E40F,1413053163.417688,48.70221013110826,11,Giant
409,Xosa sime,Zuye nohe,21.6053182665271,#108E48,2958326366.8333607,42.80725430998415,0,White Dwarf
413,Jiwa riqo,Voba weqa,1.588311144443489,#23F8B8,5052093526.579283,87.13024420354782,17,Main Sequence
415,Gulu yeki,Ludu biqi,47.444616093447756,#96110D,7572421781.764009,28.057822240458773,18,Neutron
421,Nufu cuwi,Meka qeja,32.1537431551442,#9AE298,8771633449.901634,17.008644943284267,17,Neutron
426,Wiji pota,Kuja voce,21.209198862201582,#190DEA,5079937045.119021,2.315569894404823,7,Red Dwarf
431,Pipi wuge,Dola boma,32.83542594261171,#0A4FDF,11698461975.694576,75.89045003157001,15,Supergiant
435,Yofi dobo,Nama tixi,38.734175394426245,#30ABB9,10032808355.402388,82.87305063718728,17,Giant
439,Huya fera,Dula vele,29.88444785283646,#19141C,7134248507.839682,81.02661432623374,3,White Dwarf
445,Bofe dugi,Papa topo,44.078430540684444,#6D5963,11804733873.191519,48.04107097576763,10,Supergiant
446,Vuqo qeku,Ruju fexa,46.97320964801195,#C1CF29,9214803179.10163,10.565094287933785,10,Neutron
448,Minu zila,Kute tuxo,28.254067743895035,#016CE0,2279339877.7017584,20.989203073370312,18,Neutron
449,Bepi siku,Xeta cito,27.096530317232197,#2C5DF0,10368531249.78596,39.73507106798421,6,Red Dwarf
455,Topo kuci,Jono yowi,9.706519584810815,#583428,10075842663.803152,29.511313370716195,2,Supergiant
456,Niqo hanu,Xihu reyu,47.232603734676076,#279D79,7250915364.412452,79.67201260841567,16,Main Sequence
460,Teza humo,Jada gasi,18.219267165410443,#6ADEAD,9109617448.946943,63.089470457301886,5,Red Dwarf
469,Jubu somu,Boyi wuyo,17.947276235279443,#875554,6236850783.9580965,18.636162576579785,4,Red Dwarf
477,Site kevu,Sibu fadi,34.20073320121255,#325E5C,10720117304.300547,32.72404092238508,18,Giant
478,Joju jape,Zere zoju,21.996660139756344,#D5896E,7193156544.312216,22.660605969569026,3,Red Dwarf
480,Deno tequ,Bapi bihu,0.5126959454314219,#67F03F,2823696897.478928,84.68212622455803,19,Red Dwarf
483,Yeji wozu,Sexi jowa,28.506475557003288,#A38CFF,1896381263.8449326,57.79699943335515,1,Supergiant
485,Yuji haco,Vefe nazi,15.570407060917635,#5BD0C1,11362498878.226902,61.57751006817561,16,Giant
486,Bazu javo,Peda rihi,17.697876617426143,#534007,1910202601.8049028,59.81735484820009,2,Neutron
497,Dope refo,Xesu hede,40.22756008491037,#77590A,11351271599.066956,69.44529903040556,14,Giant
498,Luxe pawa,Vohe loyi,49.71282983152824,#6493F0,8706383835.318531,76.13542129015973,12,Neutron
500,Tala feri,Podu lebu,15.399039619118417,#DDC291,5754933219.711352,50.00557710038359,7,Supergiant
504,Bale bofa,Yedi diko,32.774082335252395,#A8B4AA,6691174208.329851,40.72433469402837,18,Supergiant
505,Saba juhi,Culi kiwa,20.642324247216678,#9AD93F,10160804580.041725,91.96995490552992,6,Main Sequence
507,Hupe samu,Poqe diqi,39.61932181678671,#D07E86,11269258762.367685,96.69648639983974,16,Main Sequence
510,Tiqe zeha,Coro mebo,48.129803585609054,#7E293A,8005080280.101507,74.53373569774845,10,Main Sequence
511,Tade movo,Deme lowa,41.68081999340398,#0F1A25,1102937456.497178,13.926049255584505,4,Supergiant
514,Peve xosa,Wuvu mogu,10.12494769904576,#A97514,5893514665.020681,2.802051571109365,11,Supergiant
517,Haje regu,Fora veye,13.236485635055306,#6D0A00,1850436175.364193,30.33967017372534,17,Red Dwarf
519,Duko nuwi,Hiko zivo,3.2436177668665724,#42AD9C,10909490553.97375,26.913087273368465,17,Red Dwarf
520,Daya nini,Teqe kulo,44.6446208079194,#D6D9DB,12674830006.977713,56.50002911171998,11,Red Dwarf
522,Guyu toce,Qidu mico,9.956224901774588,#C6C1A3,2219762046.360502,64.99966963091403,8,Giant
529,Xare lata,Roqu fepi,12.256578630108192,#12FF14,11006589848.408157,42.06178297745623,1,Supergiant
533,Daxo hedi,Wocu home,12.462375889067813,#BF2AAF,3442234021.229187,76.80993765888635,6,Supergiant
534,Mege kadi,Dibo heqi,40.077825422645105,#20F367,711299915.0511334,1.191812769866163,18,Neutron
536,Zoce husi,Disu niji,40.08874508772735,#111061,4392709110.296019,57.81516156775493,10,White Dwarf
537,Yaxe lowa,Konu kuta,48.390163791782264,#D613D2,333915328.7117525,72.93422002043201,10,White Dwarf
542,Woka cove,Mito gohe,49.202666781779335,#7CFB5B,8040348074.053969,32.84520941732154,13,White Dwarf
543,Tuhe rava,Vuso jota,24.968887890177115,#5D05BA,1066044588.4112692,11.16295830317039,11,Giant
544,Geko naze,Boyu pulu,19.705514255435055,#6DD423,11780514234.386515,42.11601352701434,1,White Dwarf
546,Puqi fope,Tebu zulo,9.58224061989196,#32D502,10753148011.881845,69.58530570068339,15,Giant
548,Wasi lufo,Voze dowu,40.04867260712365,#9B6556,3679389233.341724,78.10013855331302,13,Supergiant
554,Caco sutu,Vubu buju,47.53693595966417,#F8F9E6,12196251765.333858,80.83202110643491,4,White Dwarf
558,Dora tuno,Jubo fohu,37.077514574146186,#5CD39C,3208138532.708876,87.50274829112497,0,White Dwarf
560,Tahe joru,Sopo togo,39.15383821645385,#2CB1E0,1008328042.500592,84.3810746609573,6,White Dwarf
561,Xiwi rija,Habi guga,25.500943590788054,#9B5C66,1456959352.8177664,6.79873800354851,13,Supergiant
562,Vuba tebe,Quqa meka,9.869532489366833,#3D9052,3368184578.585291,72.57890887544025,9,Giant
564,Fiyi pupo,Dida jixo,24.636006190187285,#D9F6BC,7712228622.928749,9.592824429988788,2,Neutron
575,Cosu fimo,Kesi voce,7.552632531247846,#A198B2,4433003897.025508,4.025536940939444,13,Red Dwarf
576,Jaga lese,Cuho doka,32.297756982970526,#DECE43,9384337850.876343,66.0178944061862,6,Main Sequence
578,Dizo togu,Vuqi pepe,32.62668025847535,#291CF8,11696828141.262732,87.87445429610399,5,White Dwarf
582,Poku kire,Jufu nivo,45.24771553759067,#FEF17E,6209779908.77668,97.1538318948355,6,Giant
584,Kaga loha,Cozu nuka,16.1254650475974,#266E9E,205109900.43768165,85.28100944380783,14,Main Sequence
586,Jemo vefo,Witu xuve,28.500303920626965,#EEAC5D,1485284708.4570646,85.34777192971559,8,Giant
590,Dovu yoqa,Dito maha,49.028358999402535,#8AB3BF,4775353600.69517,60.00674953361752,3,Main Sequence
591,Sinu geji,Yuho wori,21.731573539815848,#B00A95,8692929100.34292,94.21455802524473,7,White Dwarf
593,Runa yene,Coxi havu,37.08710179980768,#5885DE,7570772065.248819,99.71099046832416,12,Giant
594,Zisi pimu,Yari tume,41.809808750871106,#4B8528,1166514168.4164708,74.67492511793488,16,Main Sequence
596,Gone tika,Roti mupe,4.583847583841988,#159F82,7226748154.063802,30.341223221168377,5,Main Sequence
600,Niro coja,Nebi xima,47.41335292768674,#EF1FEF,9721073238.120848,80.98184952059326,16,Giant
602,Ralo reji,Zuzu feni,49.6022731501439,#26DC7F,11351255547.064024,30.771276011795468,6,Main Sequence
603,Wafo wuma,Yufa gido,8.625222114784755,#1078CD,894561834.4360574,80.0363712364243,17,Supergiant
604,Mera poce,Gape cego,43.731591145893795,#CA9862,4337557763.808732,61.38380652953822,19,White Dwarf
606,Roto doni,Dehu moji,47.669003474414744,#C714AC,11332239377.840178,54.08305158841535,5,Main Sequence
609,Duje hipu,Leja diba,29.71165567539812,#38BEA5,7502596157.577541,8.464592545462102,15,Giant
613,Xaxu reno,Paze gego,16.253805407377932,#C7EDCF,2829434430.857216,45.65023220888646,0,Supergiant
617,Mehi vamu,Dila zure,1.5642467778383222,#D577BD,5187307657.848241,64.98794441214343,16,Supergiant
620,Yifu dunu,Zelo seso,30.126462981191207,#FC72C0,4710593601.985922,73.49281155216549,7,Supergiant
625,Joyu ruqe,Jula hoqa,14.214404278169722,#F4A83E,6964594103.025376,94.21794255743308,2,Red Dwarf
628,Luxa naji,Zecu sipa,48.02847402285494,#78A650,5086758401.220736,41.79824304899268,18,Giant
630,Dohi nevu,Guxi koqi,13.620480396469866,#5C108A,1953766070.5912008,50.969976165748534,17,White Dwarf
634,Rali zexi,Vewe fohi,48.50144026540333,#E0FA08,2939877205.990787,25.781185647993297,10,Supergiant
635,Pobe fuvi,Laxa safa,35.202514480886286,#E6F4F0,8022829347.4012785,10.049545241277979,17,Red Dwarf
646,Febu wila,Bexo gela,37.64409579130459,#5F1D5F,1000386261.841671,88.16640854855503,12,Giant
661,Gipe rafi,Caza geba,39.999881084738746,#716779,7283057945.550858,2.8791974286327737,16,Main Sequence
663,Wewe duwu,Duro xale,37.176433523848864,#07D6FD,11429128192.596151,49.43514363034864,1,Main Sequence
669,Nici vada,Rojo xise,0.7951821622465556,#FB6C57,4031076580.743653,73.60040685172464,3,White Dwarf
670,Mufa lota,Qame hewe,0.8005308711838279,#204183,5817027443.225953,52.33251497434901,11,Neutron
677,Tiye hive,Qepi gilo,29.094590918485487,#AC9B78,126918495.98321593,79.96449379212073,10,White Dwarf
681,Fexo qunu,Witu pika,3.836437093694997,#466744,10160081559.216738,25.431246387866167,5,Red Dwarf
682,Kori zaxo,Juzo guhi,13.003392308722512,#B9E6E4,8096067589.339726,48.939583905888774,1,Main Sequence
695,Wuxo jema,Xede viro,44.68350668189369,#D81A02,297034677.8405953,50.22947908758613,6,Red Dwarf
700,Tame toli,Zaka dafo,18.918805084669145,#84DB9F,1887925827.210224,52.12952214493512,2,White Dwarf
702,Soha siwa,Zoje jalu,22.11515995094701,#D44106,7892403545.445366,67.25313096225732,1,Giant
704,Sufi fuzu,Geza nuno,37.24175637326544,#2D65B3,7355497849.588709,69.453146708785,6,Giant
705,Suwe raga,Buwo duge,29.389303444344787,#857823,12238726785.296408,58.04802095207025,16,Neutron
713,Busu lidu,Kaju fayo,42.701394464446714,#38944D,9138666108.45819,56.91584758599808,10,Supergiant
720,Cixu tane,Toku doto,5.694081490049225,#4D7E0A,5682217319.108426,85.72550068739847,1,Neutron
722,Qeza xobi,Gaho zaki,25.411849734708614,#23B307,4020121700.093073,61.764805555038784,7,Supergiant
727,Tela dufe,Cidi leko,3.083055251681677,#8882E1,6326167513.851161,61.89247430033979,14,White Dwarf
736,Cute rajo,Suqu hejo,8.022621537417656,#208B78,8600603003.998484,94.26610735591096,9,Giant
737,Gisa dadi,Xofo noxa,16.603629003736355,#161E4D,6986687557.409479,87.83910425411362,19,White Dwarf
739,Gifo qoqa,Kago qola,31.280029709045166,#CF401A,3051503885.8703637,95.17016533830356,11,White Dwarf
740,Toha mama,Runa pecu,49.09169003240498,#76F2C0,5232957613.795923,89.92783065832629,10,Neutron
756,Zesu taxe,Muyu zemo,48.85968159257451,#CC6FDE,2294921629.674568,10.739782653203445,12,Giant
757,Wesa puko,Vece simu,1.9340120272521582,#031EFD,4409349204.415148,84.31169891298816,6,Red Dwarf
759,Hazi lefu,Nava daku,38.43576930669619,#B9F9E6,4384046469.850183,83.75707291917722,19,Neutron
762,Ligi boza,Lati zinu,14.079456815089182,#A5BB96,672823483.5440524,45.464592935715196,2,Main Sequence
766,Mugo zizi,Faca zufi,46.46729752251038,#1CB0B5,10478828613.986391,19.859740143799886,1,Red Dwarf
776,Hifi lowo,Tazo yeze,44.706745868855315,#3D65FD,10775469816.860203,72.00654958070287,10,Neutron
777,Juso moti,Nihe voge,10.36269883887955,#AF542B,3042112874.1675205,83.62575216379066,5,Supergiant
779,Ceya nora,Huco bizi,28.24712127049687,#DB5799,1613986916.6342254,53.86637517210422,0,White Dwarf
780,Diki qose,Viwu yeve,45.34251496817133,#B6D03D,6380370742.483592,42.747288520031425,0,Red Dwarf
784,Bolo viqo,Yowi qadi,35.13383544974532,#06FB37,4336568173.232185,17.990682640048373,1,Main Sequence
793,Nimo mipu,Mihe wepi,32.460280060586605,#5165F7,5186742564.261809,51.244583771027806,10,Main Sequence
795,Wopo xego,Qifi yezi,32.46419480364075,#E3654B,5976725936.192136,75.26445534966135,14,Neutron
796,Zohi xaco,Bude rafe,45.75891449793667,#A92CCE,6710670405.219318,59.913683806926265,5,Main Sequence
798,Xuhe rodu,Vire royu,22.049074258311464,#D470A9,12036646739.721512,53.84737933661783,13,Red Dwarf
801,Biqo jeha,Zoqo vudi,18.03291347091827,#42652A,7904477131.730967,41.32030710416061,6,Giant
806,Boje divu,Susi nupo,35.0715202798942,#480BA1,1082790806.1414144,97.91310390611831,3,Main Sequence
810,Xeji bupe,Luho dife,15.398138264987558,#BEDDA0,4068538605.938741,21.13822402343728,16,Neutron
811,Xoxo vovi,Hota nugi,22.169366222997912,#5EB8DE,3189553601.7225986,38.182453359340926,17,Neutron
812,Zehe lupa,Jepu gaxe,13.306995674215772,#6B1E11,3957575524.706886,18.50689818323471,18,Main Sequence
828,Pobu xosu,Dibe rivi,36.05192326274491,#BDC11B,238313729.13633066,20.936565977712263,19,Main Sequence
829,Fiwe hiju,Gova xodo,12.129388694406828,#8358B1,283198471.6263967,8.083578392964984,9,White Dwarf
830,Duse nuwe,Degu mobo,29.150779203853887,#2603ED,2656320192.2218537,63.010326224539526,18,Supergiant
835,Rizi tude,Pofi caya,15.866645296056292,#9E6C23,2888481132.546379,13.526218456596673,12,Neutron
839,Qaci nano,Gesu puyu,46.78021728613959,#6DB4FD,12509601021.28051,32.72764990440547,7,Giant
845,Qugu riho,Qipo sayo,23.91491739894867,#FDBD1D,4654279456.396176,20.733111476033717,2,Supergiant
846,Qemu paqu,Puyu lemi,17.505927561065754,#A336E0,12005668539.04993,54.077562800256096,0,Main Sequence
856,Coru woyo,Biye jeje,4.922436161637057,#D2B07B,20575878.791560482,54.634198158095245,6,Main Sequence
857,Tiqa rera,Nora cini,45.48470219528996,#7ECF43,4681882892.738703,33.22333297341014,4,Main Sequence
862,Zano wezi,Guwe kohu,21.399967937974516,#73EA2A,12829162149.39824,60.84584844691404,6,Neutron
863,Cole tuqi,Naxi buka,31.608051443217946,#A3B4DC,1735811296.0238297,94.34228187425693,14,Supergiant
866,Raba cayo,Resa kadi,39.70943554377008,#5C259B,5687153984.964768,92.1336697385303,10,Red Dwarf
881,Guca fuyo,Bapo rani,38.02283571044777,#719C63,10035078644.147995,19.680281282684085,16,Red Dwarf
885,Vire jebu,Jiru nufa,10.295590459083517,#87F8CC,5520235763.165831,92.86472645878956,1,Supergiant
895,Qowa kidi,Gane gozu,9.458752467142581,#ECD9C5,1274799678.34498,24.153229728313853,6,Giant
896,Yaxa boqa,Ruvi bucu,24.903628458226446,#AFB47A,10574145459.22992,39.07807140063406,17,White Dwarf
908,Gala kuce,Foki qopu,4.350283581005481,#AFC6D9,11651138972.816349,21.768206964299342,5,Supergiant
910,Nawo meke,Hoyo yuda,37.39410983373378,#31F6C3,88630865.39815094,73.61388577902864,15,Supergiant
914,Tuku mexi,Meyi buqa,15.734997572756987,#6CA74E,11694418866.527117,92.32611126012586,2,Main Sequence
921,Nuho loji,Bafe gazo,25.00397498928761,#11C672,6858179472.543281,41.22742825272097,4,White Dwarf
923,Yasa hure,Pave jima,19.186716570273926,#6BEEB1,5506515479.393951,43.785863883671794,16,Red Dwarf
